instance,model,configuration,fully_resolved,embedded_virtual
23. Tyre Sub Assembly-1,cad/大葱收种一体机/轮子/23. Tyre Sub Assembly.SLDASM,Default,True,False
23. Tyre Sub Assembly-1/19.AXLE-1,cad/大葱收种一体机/轮子/19.AXLE.SLDPRT,Default,True,False
23. Tyre Sub Assembly-1/20.RIM-1,cad/大葱收种一体机/轮子/20.RIM.SLDPRT,Default,True,False
23. Tyre Sub Assembly-1/21. TYRE-1,cad/大葱收种一体机/轮子/21. TYRE.SLDPRT,Default,True,False
23. Tyre Sub Assembly-3,cad/大葱收种一体机/轮子/23. Tyre Sub Assembly.SLDASM,Default,True,False
23. Tyre Sub Assembly-3/19.AXLE-1,cad/大葱收种一体机/轮子/19.AXLE.SLDPRT,Default,True,False
23. Tyre Sub Assembly-3/20.RIM-1,cad/大葱收种一体机/轮子/20.RIM.SLDPRT,Default,True,False
23. Tyre Sub Assembly-3/21. TYRE-1,cad/大葱收种一体机/轮子/21. TYRE.SLDPRT,Default,True,False
23. Tyre Sub Assembly-5,cad/大葱收种一体机/轮子/23. Tyre Sub Assembly.SLDASM,Default,True,False
23. Tyre Sub Assembly-5/19.AXLE-1,cad/大葱收种一体机/轮子/19.AXLE.SLDPRT,Default,True,False
23. Tyre Sub Assembly-5/20.RIM-1,cad/大葱收种一体机/轮子/20.RIM.SLDPRT,Default,True,False
23. Tyre Sub Assembly-5/21. TYRE-1,cad/大葱收种一体机/轮子/21. TYRE.SLDPRT,Default,True,False
23. Tyre Sub Assembly-6,cad/大葱收种一体机/轮子/23. Tyre Sub Assembly.SLDASM,Default,True,False
23. Tyre Sub Assembly-6/19.AXLE-1,cad/大葱收种一体机/轮子/19.AXLE.SLDPRT,Default,True,False
23. Tyre Sub Assembly-6/20.RIM-1,cad/大葱收种一体机/轮子/20.RIM.SLDPRT,Default,True,False
23. Tyre Sub Assembly-6/21. TYRE-1,cad/大葱收种一体机/轮子/21. TYRE.SLDPRT,Default,True,False
SDB-1,cad/大葱收种一体机/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]/SDB.SLDPRT,后铰固定架,True,False
SDB-2,cad/大葱收种一体机/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]/SDB.SLDPRT,后铰固定架,True,False
SDB-3,cad/大葱收种一体机/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]/SDB.SLDPRT,后铰固定架,True,False
SDB-4,cad/大葱收种一体机/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]/SDB.SLDPRT,后铰固定架,True,False
不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]-1,cad/大葱收种一体机/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB].sldasm,CTMA-16x25-S-CA-SDB,True,False
不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]-1/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]_16活塞杆-2,cad/大葱收种一体机/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]_16活塞杆.SLDPRT,16,True,False
不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]-1/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]_16缸体-2,cad/大葱收种一体机/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]/不锈钢迷你型CTMA系列气缸[CTMA-16x25-S-CA-SDB]_16缸体.SLDPRT,16,True,False
